"Source:","E:\msx\paxon_pct_55\paxon_pct_55.sch"
"Date:","1.1.2024 15:02:31"
"Tool:","Eeschema (5.1.5)-3"
"Component Count:","616"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"Audiojackswitch1","SW_DPDT_x2","","","",""
"C1","10nF","","","",""
"C2","10nF","","","",""
"C4","10nF","","","",""
"C5","10nF","","","",""
"C6","10nF","","","",""
"C7","10nF","","","",""
"C8","1.5pF","","","",""
"C9","8pF","","","",""
"C10","<5pF","","","",""
"C11","10nF","","","",""
"C12","4.7uf/50v","","~","",""
"C14","100uf/16v","","~","",""
"C15","0.47uf/50v","","~","",""
"C16","0.47uf/50v","","~","",""
"C17","10nF","","","",""
"C20","10nF","","","",""
"C21","47uf/16v","","~","",""
"C23","10uf/25v","","~","",""
"C24","15nF","","","",""
"C26","1uf/50v","","~","",""
"C27","4.7uf/50v","","~","",""
"C28","10nF","","","",""
"C29","10nF","","","",""
"C30","10nF","","","",""
"C31","68pF","","","",""
"C32","10uf/25v","","~","",""
"C40","12pF","","","",""
"C41","12pF","","","",""
"C201","56pF","","","",""
"C203","47uf/25v","","~","",""
"C204","330uf/25v","","~","",""
"C205","100uf/16v","","~","",""
"C206","10nF","","","",""
"C207","10uf/25v","","~","",""
"C208","10uf/25v","","~","",""
"C212","2.2nF","","","",""
"C213","2.2nF","","","",""
"C218","4.7uf/50v","","~","",""
"C219","330uf/25v","","~","",""
"C222","100pF","","","",""
"C223","10uf/25v","","~","",""
"C224","10uf/25v","","~","",""
"C225","10uf/25v","","~","",""
"C226","10uf/25v","","~","",""
"C227","4.7uf/25v BP","","","",""
"C229","1uf/50v","","~","",""
"C230","10nF","","","",""
"C231","0.47uf/50v","","~","",""
"C233","0.47uf/50v","","~","",""
"C234","0.47uf/50v","","~","",""
"C251","56pF","","","",""
"C252","33pF","","","",""
"C253","100pF","","","",""
"C254","100pF","","","",""
"C255","10nF","","","",""
"C256","10nF","","","",""
"C257","0.47uf/25v","","~","",""
"C258","39pF","","","",""
"C260","27pF","","","",""
"C261","33nF Paper","","","",""
"C262","2.2uf/50v","","~","",""
"C263","1uf/50v","","~","",""
"C264","10nF","","","",""
"C265","330uf/16v","","~","",""
"C270","10nF","","","",""
"C290","82pF","","","",""
"C301","1000uf/16v","","~","",""
"C302","22nF Paper","","","",""
"C303","0.47uf/50v","","~","",""
"C304","6.8nF","","","",""
"C306","2.2uf/16v Tantal","","~","",""
"C307","22nF Paper","","","",""
"C308","4.7uf/50v","","~","",""
"C309","82nF","","","",""
"C310","1u/50v","","~","",""
"C311","2.2uf/160v","","~","",""
"C312","1nF","","","",""
"C313","47uf/160v","","~","",""
"C314","27nF","","","",""
"C315","4.7uf/50v","","~","",""
"C351","1uf/50v","","~","",""
"C352","47uf/25v","","~","",""
"C353","8.2nF","","","",""
"C354","47uf/25v","","~","",""
"C355","6.8nF Paper","","","",""
"C356","39nF","","","",""
"C357","1.1nF Paper","","","",""
"C358","18nF Paper","","","",""
"C359","10pF","","","",""
"C360","3.3nF","","","",""
"C361","10nF","","","",""
"C362","10nF","","","",""
"C363","0043J/1.5kV","","","",""
"C365","330nF","","","",""
"C368","0.47u/50v","","~","",""
"C370","270pF","","","",""
"C371","2.2nF","","","",""
"C372","100nF","","","",""
"C375","1.5nF","","","",""
"C378","56nF/200v","","","",""
"C380","1u/50v","","~","",""
"C383","68pF","","","",""
"C384","10nF Paper","","","",""
"C385","1uf/50v","","~","",""
"C388","3.3nF","","","",""
"C389","330nF","","","",""
"C451","10nF","","","",""
"C452","68pF","","","",""
"C453","68p","","","",""
"C454","68p","","","",""
"C455","27pF","","","",""
"C456","27pF","","","",""
"C457","27pF","","","",""
"C458","1.5nF/2kV","","","",""
"C460","10uf/160v","","~","",""
"C500","4.7uf/50v","","~","",""
"C501","C","","","",""
"C503","1.5nF","","","",""
"C504","2.2nF","","","",""
"C505","2.2nF","","","",""
"C506","470uf/160v","","~","",""
"C507","2.2nF","","","",""
"C508","2.2nF","","","",""
"C509","100uf/100v","","~","",""
"C510","4.7uf/50v","","~","",""
"C511","3.0nF","","","",""
"C512","47uf/160v","","~","",""
"C513","47uf/160v","","~","",""
"C514","100uf/16v","","~","",""
"C515","470pF","","","",""
"C516","1000uf/16v","","~","",""
"C517","470pF","","","",""
"C518","1000uf/6.3v","","~","",""
"C519","10nF","","","",""
"C551","10nF","","","",""
"C553_1","10nF","","","",""
"C553_2","10nF","","","",""
"C555","10nF","","","",""
"C556","10uf/25v","","~","",""
"C558","0.47uf/50v","","~","",""
"C559","330uf/25v","","~","",""
"C560","10pF","","","",""
"C562","2.2nF","","","",""
"C563","10nF","","","",""
"C564","10nF","","","",""
"C565","10nF","","","",""
"C701","1000uf/25v","","~","",""
"C703","10nF","","","",""
"C704","220uf/16v","","~","",""
"C705","1uf/50v","","~","",""
"C813","2.2nF","","","",""
"C814","10uf/25v","","~","",""
"C815","10uf/25v","","~","",""
"C816","3.3nF","","","",""
"C818","1000uf/16v","","~","",""
"C819","470uf/16v","","~","",""
"C901","82nF Paper","","","",""
"C902","33uf/16v","","~","",""
"C903","33uf/16v","","~","",""
"C904","39pF","","","",""
"C905","10nF","","","",""
"C950","22uf/16v","","~","",""
"C951","22uf/16v","","~","",""
"C952","10uf/25v","","~","",""
"C953","10uf/25v","","~","",""
"C954","10uf/25v","","~","",""
"C955","1uf/50v","","~","",""
"C956","33uf/16v","","~","",""
"C957","33uf/16v","","~","",""
"C958","56pF","","","",""
"C959","10uf/25v","","~","",""
"C960","33uf/16v","","~","",""
"C961","10nF","","","",""
"C962","10uf/25v","","~","",""
"C963","10uf/25v","","~","",""
"C964","10nF","","","",""
"C1000","82pF","","","",""
"C3000","10nF","","","",""
"CF1","T4.5MB","","~","",""
"CF2","SFE 4.5MB","","~","",""
"CF3","CDA 4.5MB","","~","",""
"D201","D","","","",""
"D202","D","","","",""
"D203","D","","","",""
"D205","D","","","",""
"D206","D","","","",""
"D211","D","","","",""
"D212","D","","","",""
"D213","D","","","",""
"D302","D","","","",""
"D303","D","","","",""
"D351","D","","","",""
"D358","ZENER","","","",""
"D501","D","","","",""
"D502","D","","","",""
"D503","D","","","",""
"D504","D","","","",""
"D505","ZENER","","","",""
"D506","P2M_47_SCR_AGK","","~","",""
"D507","ZENER","","","",""
"D509","D","","","",""
"D510","D","","","",""
